,Sentences,Labels
2355,hos nogle er det nemt at se  som hvis man sidder i kørestol,0
1455,det er demokratiets udfordring også til os   som mennesker og som nation,0
6113,mange af de unge har fornemmet det og har prøvet at gøre os opmærksomme på det,1
4246,i andre lande har gamle modsætninger fået overtaget  og religiøse  etniske og nationalistiske spændinger har ført til borgerkrig  ødelæggelse  sult og elendighed,1
1920,det er i mine øjne en af de største forandringer  der er sket med danmark i de senere år,0
2226,nej  vil jeg mene,0
5383,energikrise,1
1703,jeg ønsker et godt nytår for dem og alle danske  der gør tjeneste rundt omkring på kriseramte brændpunkter i verden,0
4927,det skal vi værne om,1
5757,mandela havde den livsklogskab  som mange og stormfulde leveår kan give,1
2832,det nødvendige holder os og vort samfund i gang  men det lille   eller store   ekstra nap,0
1115,jeg ønsker et godt nytår for færøerne og grønland   for de to landsstyrer  for der arbejde  der gøres i lagting og landsting  og for alle  der bebor de egne  som nok er fjerne men som har givet mig og min familie så mange uforglemmelige oplevelser,0
4371,de ville være glade  hvis de bare havde en situation som den  vi har  og som vi kalder en krise,1
2415,morgendagen  det nye år  ser vi hen til i håb og med forventning,0
2920,i aften går mine tanker også til de udsendte danske soldater  politifolk og specialister,0
1047,det jeg særlig vil hæfte mig ved  er den varme og venlighed  der altid vises os  hvor vi end kommer  enten der er ved særlige begivenheder eller i det ganske dagligdags,0
214,lade os hver især prøve at tage vort ansvar op i stort og småt  hvor vi møder det,0
1827,vi skal ikke lade tiden slæbe os ved hårene baglæns ind i 1981  vi skal selv  uforknytte  gå det ny år i møde og af hjertet ønske hinanden et godt nytår,0
1981,hvis man har så travlt med at opnå det bedste for sig selv hele tiden  kan man slet ikke se  hvordan andre har det,0
1830,det er  som om den økonomiske nedgang  vi oplever i disse år  snarere opfattes som en forløber for endnu værre ting end som en udfordring til os alle,0
4646,en fortælling om et samfund  der hjælper de mange uden at stå i vejen for den enkelte,1
1474,min tak går også til medarbejderne på vore mange plejehjem og væresteder  der værner om og opmuntrer beboerne  som må savne den nære kontakt med deres pårørende,0
757,vi får glimt fra forskellige begivenheder  store som små,0
3333,og selvom vi har god brug for deres indsats,1
5470,og senere i år vil vi foreslå at sætte skatten ned for dem  der er i job,1
2495,men hvem du er  og hvordan du er overfor andre   dine venner og kammerater,0
4422,men her på årets første dag tør jeg godt forudsige  at opsvinget kommer i 2004   og fra i dag har vi sænket skatten på arbejde,1
512,vi har vænnet os til det,0
4157,på spørgsmålet om en bedre  skal vi kalde det  husholdning med naturens ressourcer  og så respekt for det naturlige kredsløb  som betinger selve tilværelsen,1
4692,det betyder  at danmark sender soldater og fly til afghanistan her i begyndelsen af det nye år,1
1839,endnu en skelsættende historisk begivenhed kunne vi mindes i denne sommer  sønderjyllands genforening med det gamle land i 1920  kun de allerældste har egne erindringer om den tid  men mindet er levende  ikke mindst i grænseegnen,0
3110,jeg ønsker også er godt nytår for de mange danske  der har slået sig ned uden for danmark og for de danske syd for grænsen  alle de mange  der som gode borgere i deres land dog stadig føler en dyb tilknytning til deres danske sprog og flag,0
2980,det er ikke tolv måneder  der skal overstås  det er et helt år   enestående og fuldt af muligheder,0
1113,blot ved at trykke på nogle knapper kan vi få forbindelse til andre mennesker i alverdens lande og på alle døgnets tider,0
2316,vi lever i et velordnet samfund  vore menneskelige ressourcer er mange  og vi har sikret et velfærd  som tidligere generationer kun kunne drømme om,0
5810,men når man ikke har investeret nok i uddannelse og forskning,1
5262,et velfærdssamfund,1
5069,men med drabet af tusinder af mennesker som frihedens høje,1
1639,det er dem  der forstår  at fremtidens problemer bliver deres,0
5405,danmark er et unikt land,1
4959,i stedet for at skabe grundlaget for en god alderdom,1
2408,nogle af vore soldater er vendt hjem hårdt sårede  og andre er psykisk mærkede af deres oplevelser,0
5068,og en nation med vores egen identitet,1
5374,ni på sjælland,1
4592,det gælder også i udlændingepolitikken,1
4050,jamen hvad er der da galt med danmark,1
876,mine nytårshilsener går også til alle danske i udlandet  som for kortere eller længere tid har deres virke under fremmede himmelstrøg,0
4366,vi møder jer i livets store øjeblikke,1
2556,det færøske samfund er inde i en imponerende udvikling,0
3720,det er et fællesskab  hvor vi tager ansvar for hinanden  også under krisen,1
3960,selvbestemmelse,1
271,to danskere mistede livet  og vi sad alle tilbage med chokket og forfærdelsen   terroren var nået til os,0
6023,vi skal først og fremmest producere os ud af vanskelighederne i den ny åbne europæiske marked,1
2682,man glæder sig over at se  med hvilket gå på mod det grønlandske samfund udvikler sig  trods det  at tiderne ikke er de nemmeste,0
791,se  der var det  ansvar,0
2779,det burde ikke være svært at behandle enhver med respekt,0
2120,vi har der med at se året som et væsen med en egen personlighed  i januar taler vi om  det nye år   året er ungt  fuldt af løfter om nye oplevelser  nye uprøvede muligheder,0
3613,på tværs af traditionelle skel mellem arbejdsgivere og fagforeninger  mellem regering og opposition har der igennem de sidste 25 år været bred enighed om de vigtigste bestanddele i en stærk og bæredygtig økonomi,1
918,afstandene er ophævet  vi kan holde kontakt  og det går så dejlig hurtigt,0
3179,mennesker er i stand til at lægge de værste egenskaber for dagen for i næste øjeblik at vise storsind og næstekærlighed og offervilje,0
5508,tag imod de tilbud om uddannelsespladser  kurser og lignende  som vi kan få fremskaffet,1
3727,træffer vi beslutningerne i god tid  kan vi med velovervejede justeringer få ganske store virkninger på længere sigt,1
3125,nu kan mennesker igen mødes og færdes frit og uden frygt  og med egne øjne se de steder  som de kun kendte fra bøgernes billeder og fra ældre folks beretninger,0
2453,er brugsvejledningen til at forstå,0
667,vi må alle sande  at i en tid  hvor der tales om sikkerhed som sjældent før  lurer usikkerheden også uden for vor egen dør,0
5688,fordi vi er vokset op i en tradition med frihed  frisind  ligestilling og ligeværd,1
327,men er der et liv,0
4233,vi skylder jer den største tak og dybeste respekt for den indsats  som i yder under vanskelige forhold,1
1097,den modtagelse  vi fik overalt  vil sammen med de store naturindtryk stå som uforglemmelige minder for os alle sammen,0
2379,sommetider faldt de ned og slog sig  og sommetider kunne det knibe med at forklare  hvordan bukserne havde fået en flænge eller hvor hårsløjfen var blevet af,0
6062,nu sker ændringerne bare meget hurtigere,1
2613,de seneste begivenheder har på ny understreget  at vor klode er blevet mindre  og at vi alle er direkte berørt af begivenheder i lande  som før var fjerne,0
3468,det er kun meget få  der ønsker  at danmark skulle melde sig ud af samarbejdet,1
5672,det var først og fremmest perioden med den helt store arbejdsløshed,1
1255,der ligger ikke en hurra optimisme  men en fortrøstningsfuld accept deri  hvad det end vil bringe  tager vi imod det nye år  tager det på os   med dets glæder og sorger  med dets udfordringer og dets muligheder  velkommen nytår og velkommen her,0
4354,maisha på 19 år,1
3315,så skal vi stå sammen,1
3600,og satte et punktum for et grusomt kapitel i vores historie,1
5327,det blev forsøget på perestroika og glasnost i sovjetunionen  der banede vejen for frigørelses  og frihedsbevægelserne i de gamle satellitstater,1
896,vi har valgt at holde det helt stille med vore sønner  svigerdøtre og børnebørn,0
733,med glad forventning havde jeg set frem til sommerens besøg i grønland  men også her kom coronaen i vejen,0
2647,selv i danmark  hvor vi vel mest har været tilskuere til begivenhederne  føler vi det som en befrielse,0
1712,vi stod overfor en sygdom  som ingen kendte  og som vi ikke havde midler imod,0
5770,ligeværd mellem mennesker,1
2526,sammen med hele min familie ønsker jeg et godt nytår for alle vore udsendte  hvor de end er  og for deres pårørende  de skal vide  at vi tænker på dem,0
5353,jeg tror  i kender den,1
5183,sådan skrev i   jeres ord har gjort et stort indtryk på mig,1
4119,det har vi før vist,1
6083,og piger skal have samme frihed som drenge,1
1199,vi håber alle  at det nye år må blive en ny begyndelse for det grønlandske samfund,0
4681,det gamle år forstærkede nogle nye problemer  som giver os grund til megen eftertanke,1
6230,kunne vi efter magtovertagelsen i østeuropa tro på  at vi små vest europæiske lande fik lov at bevare vores frihed og vores demokratier,1
901,danmark er et land med mange forskellige mennesker,0
1084,er det end koldt  derude  skal varmen i vore hjerter ikke mangle,0
6301,min frсонềnormate mig som mand  megin stat,1
4635,det skader danmarks interesser  at vi på afgørende områder er sat uden for indflydelse som følge af vore undtagelser fra eu samarbejdet,1
6462,og langt de fleste på efterløn er hverken mere eller mindre syge end deres jævnaldrende på arbejdsmarkedet,1
4365,jo  det gør vi,1
5121,de oplever  at deres børn bliver puttet i samme kasse som kriminelle bandemedlemmer eller fanatiske religiøse,1
2928,jeg tror  der er kommet en erkendelse af  at ikke alle familier er far og mor og børn,0
4361,så de kan flytte sig,1
4056,det er jo ikke nogen hemmelighed  at brugen af den megen medicin i dyr ofte hænger sammen med levevilkårerne,1
3822,det handler om sikkerhed,1
5716,med flotte plus energihuse  der producerer mere energi  end de bruger,1
6243,det er ubærligt,1
643,vel vidende  at  sorrig og glæde  de vandre til hobe   så kan vi ønske hinanden et godt nytår,0
157,men det kan ligeså vel gælde børn og ganske unge mennesker,0
6056,verdens fred er vores fred,1
814,det var et besøg  vi glædede os til  og som altid er vi vendt berigede hjem  opmuntrede og rørte over den varme modtagelse  der blev os alle fire til del,0
5179,men den respekt må aldrig få os til at miste respekten for eller tale nedsættende om dem  der af en eller anden grund ikke kan klare sig selv,1
4735,og det er vores opgave at passe på det velfærdssamfund  som overalt betragtes som verdens bedste,1
2944,en ny begyndelse  der lader os tage fat med friske forhåbninger  det er nytår   på ny,0
6313,vi må ikke i ligegyldighed glemme  at verden over tørster menneskene i de fleste lande efter den frihed og den respekt for menneskerettigheder  som vi synes er så selvfølgelige  fordi det er vor tilvandte hverdag,1
4424,langt flere overlever kræft,1
1646,hvordan står det til derhenne,0
4352,hvor vi kan tale om arbejderinteresser  eller landbrugsinteresser  eller tjenstemændsinteresser  eller de selvstændige erhvervsdrivendes interesser,1
346,hvor frydefuldt at høre isens klage når den begynder at knækkedet strålende panser begynder at sprækkede første forårsdage    sådan skriver min mand i sit digt  ode til grønland,0
3722,og danmark skal bidrage mere til nato,1
510,alle har vi en dagligdag  som skal klares  måske med problemer  der kan synes uoverskuelige,0
3338,jeg havde holger på seks måneder på skødet,1
3022,et godt nytår ønsker jeg også for grønland  som jeg nåede at gæste et kort øjeblik i den tilstundende vinter,0
5423,vi skal bevare børnenes lyst til at lære,1
2771,netop nu varmer det derfor at se den offervilje  som mange yder på eget initiativ og det ihærdige arbejde  der gøres også fra dansk side med at sende hjælp ud til de hårdest ramte samfund,0
5902,den nye taske på ryggen,1
6255,grøn omstilling handler ikke kun om at sætte mål,1
6398,patienterne skal i centrum,1
5771,et trygt velfærdssamfund,1
4628,den koncentrerer sig om de problemer vi har fælles,1
2729,nogen  vi selv kender eller kunne kende  bliver offer for det utænkelige,0
1155,verden er blevet mindre  siger man  det betyder også  at der skabes en mangfoldighed af personlige kontakter ikke mindst blandt de unge,0
4458,når det er sagt  må jeg også sige  at hvis mennesker ikke er personligt forfulgte  men alligevel kommer hertil for at gøre brug af vores velfærdssystem  så må vi også sige stop,1
5784,jeg mener naturligvis  vi har ret til at være utilfredse,1
1719,vi er som stat  som nation begyndt at se os selv i et nyt lys  et klarere lys end det flakkende skær fra selvironiens skæve refleksspejl,0
97,noget skrives af andre  uden at vi selv har ret megen indflydelse på det,0
2195,vi skal også anspore de nyankomne til at opbygge en ny tilværelse  hvor de kan tage ansvar for sig selv og gøre deres bedste for at falde til i det fremmede land  enten den tid bliver lang eller kort,0
3361,risikoen er nu mindre for  at det hele endda kan eksplodere i en katastrofe for hele menneskeheden,1
1079,mens isen er ved at slippe sit tag om grønland  bliver verdens opmærksomhed i stigende grad vendt mod landet højt mod nord,0
308,det er som en fin plante  den kan sagtens blive stor og stærk  men den kræver luft og lys for at kunne trives  den fordrer også læ  for den vantrives  hvis den skal passe sig selv,0
2169,sammen med kronprins frederik var prinsen og jeg på kort visit i tórshavn,0
502,den vældige udvikling vi har været vidne til indenfor de senere år  fylder os med modstridende følelser,0
2414,man siger  livet har mange kår,0
3011,vi skal give os tid  ikke blot for at hjælpe  men også for at lære af hinanden,0
6141,men det indebærer jo ikke  og må ikke indebære  at vi godtager vold  overgreb  lidelser  som mennesket både i vest og øst kan komme ud for,1
1607,der er sikkert nogle børn  som ser med i aften,0
5836,det kom også til mange sammenstød  ikke mindst på blågårds plads,1
3167,også her er valgmulighederne vel flere end nogensinde tidligere  og det kan opleves som en byrde,0
2303,det er ikke underligt  hvis vi bliver bekymrede  men vi skal ikke lade os kyse,0
4105,både til nye og gamle danskere,1
2521,på årets sidste aften er det mit ønske at det nye år må blive et godt år for danmark og for os alle sammen,0
5534,nu skal vi skrive næste kapitel i børnenes danmarkshistorie,1
5132,nu er tiden kommet til de helt små,1
1128,jeg og min familie har altid følt os nært knyttet til såvel grønland som færøerne,0
2140,et godt nytår ønsker jeg alle  der bebor de egne  som nok ligger langt herfra  men som jeg føler mig så hjerteligt knyttet til,0
6565,og derfor skal der være en ordentlig internetforbindelse,1
3684,vi kan ikke alene og hurtigt genskabe den fulde beskæftigelse,1
3244,fødselsdage og nytår er en underlig foreteelse  i det daglige følger time på time  dage bliver til uger og måneder  og pludselig opdager vi  at et år er gået,0
6312,så var det samfundet  der svigtede,1
5777,selvfølgelig vil 200 000 hvide i rhodesia ikke kunne regere over 6 millioner sorte  alene på undertrykkelse og apartheid,1
4333,i har stået vagt om vores fælles sikkerhed,1
5049,omvendt kan ulemperne ved at stå uden for blive så store  at det skader erhvervsudvikling og beskæftigelse,1
6356,du ved ikke selv  hvem du har reddet,1
3731,vi mener særligt den hjertevarme  der strålede fra ham,1
1513,jeg vil gerne i aften sende mine varmeste nytårshilsener til alle  der kæmper med sygdom eller ensomhed  med misbrug eller hjemløshed,0
3519,danskerne   du  i   har sammensat et folketing  hvor vi må samarbejde bredt,1
5460,vist er der mange negative historier fra irak,1
5806,fra jerusalem til ramallah,1
4482,vi vil blive stærkere præget af ansvarlighed overfor det samfund  vi lever i  og dermed overfor eftertiden,1
499,de hårde tider betød dengang  at man måtte gøre mange ting på nye måder  og man fik for en tid nye vaner  men man klarede skærene  og samfundet kom videre,0
554,for min familie og mig har 2008 være et travlt år  men først og fremmest et glædeligt år  hvor vi kunne fejre prins joachim og prinsesse maries bryllup,0
4498,deres pladser kan ingen udfylde,1
2264,her vil jeg gerne fremhæve de danske flyvere og takke dem for deres fremragende indsats i libyen,0
5697,og i står klar med det faglige overblik og den trøstende hånd,1
1228,familierne er blevet så små  eller de er splittet op  og det er snart længe siden  familien   slægten   var tilværelsens faste holdepunkt,0
4650,jo  demokrati er samtale  som skal måne ud i forhandling og samarbejde,1
2072,i år har danmark fået en ny flagdag  den 5  september,0
5253,vi kan bare mindes augustforlig og septemberforlig,1
2013,der var engang  da generationerne følte en langt mere forpligtende tilknytning til hinanden,0
5889,når jeg besøger f eks  vollsmose  så er magtesløsheden og isolationen desværre den samme  som da jeg var der sidst,1
2119,det kan ikke undgå at påvirke de forventninger  vi stiller til det nye år,0
1741,det var snarere deri opfattelse  at den strålende fremtid ville komme helt automatisk,0
4538,hvis indvandrerne var lige så meget i arbejde som danskerne  så skulle 50 000 flere indvandrere være i arbejde i stedet for at være på bistand,1
5434,tryghed,1
2685,det vil nok kræve lidt tid  før vi alle vænner os til det og finder ud af  hvor alt nu er kommet til at stå,0
6204,vi fik omsidder over 10 års underskud i statens finanser  brækket ud af verden,1
5894,mit budskab i aften er  at det kan lade sig gøre,1
5237,i dag begynder vi på et nyt år,1
5638,men vi skal også kunne følge med,1
1350,nu ser vi det endelig spire frem også hos nationer  som sjældent eller aldrig har fået lov at udvikle det,0
5076,vi er nødt til at kræve mere af hinanden,1
4701,men det er også vigtigt  at især kvinder kan gøre det  uden at det går ud over deres jobmuligheder bagefter,1
5492,på den anden side får vi i de kommende årtier brug for alle hænder og alle hoveder,1
2087,nu står året 2020 for døren,0
5400,om skat,1
5484,vi kan nu gøre mere mod arbejdsløsheden uden at sætte gælden opad igen,1
82,de kommer ud for meget  som er rystende  og som må få det rolige og trygge liv herhjemme til at virke fjernt og fremmed,0
1885,gælder dette blandt os selv i vort eget land  gælder det i lige så høj grad mellem nationerne,0
4391,det fik mig til her mellem jul og nytår at tænke lidt over  hvordan livet var i de større byer  også i 30 erne,1
5547,for os alle er det en knivskarp balance  når vi på én gang skal sikre penge til velfærd  afdrag på gælden   og den enkelte families behov,1
353,intet år går hen  uden at nogle vil huske det med sorg for  hvad de har måttet gennemleve  enten det var sygdom og ulykke eller tabet af et elsket menneske,0
3356,vælgerne,1
5020,i budgettet for i år bliver der strammet op på udgifterne og prioriteret skarpt,1
4798,derfor er det så positivt  at vi 12 medlemslande er blevet enige om at forstærke samarbejdet,1
4600,men vandene skilles ofte  når der skal tages stilling til den praktiske udformning,1
3181,de unge er på mange måder de mest åbne  hvad forbindelserne ude i verden angår,0
4911,en inspiration til selv at tage ansvar,1
1978,vi véd nu bedre  hvad vi står for  hvor vi hverken vil eller kan give køb,0
3135,en anden kilde til stolthed for os alle sammen og til inspiration   ikke mindst for unge forskere   er tildelingen af nobelprisen i kemi til en dansk forsker,0
883,hvordan var det på hin aften i 1969  da 7o erne stod for døren,0
2917,nu ved jeg det ikke  og de ved det heller ikke selv   for det er er en underlig tid  vi lever i   på ny er 12 måneder gået   365 dage,0
6164,til vores dronning,1
1720,som små hjul  der drejer og måler tiden med skiftende tal  går timerne  mens sekunderne klikker lystigt af sted,0
3251,det nyder vi alle godt af,0
2238,ved at give dem en rig og god arv i form af et sprog  det danske  som de kender og kan bruge smidigt  ved at gøre dem fortrolige med vores historie  så at de   ikke ukritisk   tør være stolte af deres baggrund,0
5667,for alternativet,1
4564,vi skal ikke falde på halen i begejstring for alt  men vi skal bestemt heller ikke kvæle al nytænkning  fordi det kommer til os i en form  der måske støder an på vores vaner,1
2546,for årsskiftet er en opfordring til en begyndelse  til med friske kræfter at tage fat på de problemer  som det gamle år ikke fik has på,0
3986,det er godt for danmark,1
2486,det stiller store krav til vor formåen  såvel organisatorisk som praktisk,0
6334,de skal arbejde mere for ydelsen  og det skal helst være på en arbejdsplads,1
402,vi tager imod dem og er nok også lidt stolte over  at de har valgt netop vort lille paradis  men når vi ser dem stå famlende over for vort livsmønster og vort sprog  så kniber det alt for hurtigt med gæstfriheden  og skuffelsen melder sig på begge sider,0
1900,godthåbs 250 års jubilæum blev en kærkommen lejlighed til et besøg  hvor vi kunne være med til at fejre en begivenhed i grønlands historie,0
3633,det var i øvrigt et år  eller en lys side ved året 1975  at det lykkedes at samle så bred tilslutning i folketinget omkring en sådan indsats,1
664,der lå et strålende lys over fremtiden  det 20  århundrede skulle blive det bedste nogensinde for menneskeheden,0
4585,ude i verden vil vi løfte vores ansvar for fred  sikkerhed og en grøn fremtid,1
395,overalt i verden lever der mennesker  hvis rod er i danmark,0
1268,lad os prøve at se de mennesker  der omgiver os,0
4763,der blev gået til den,1
816,de hjertelige følelser  som i de tunge dage støttede og løftede os  har jeg siden i årets løb mødt så mange gange  og det har været mig en glæde og inspiration i min gerning som danmarks dronning,0
5936,underskuddet betyder  at vi betaler velfærd med penge  vi ikke har,1
5337,jeg møder ofte det synspunkt  hvorfor vi i det lille danmark skal interessere os for at bruge penge og bruge tid på f eks  at hjælpe den tredje verden,1
5858,heller ikke når de rummer sund og savlig kritik af vores venner og partnere,1
5349,de økonomiske problemer  som vælter ind over landet igen og igen  dem kan vi bedst imødegå  hvis der ude i samfundet  ude i befolkningen  er forståelse for disse problemeres enorme omfang,1
4766,optimismen er så småt ved at vende tilbage,1
3217,for os er punktet nu i denne nat  nytårsnat,0
1834,vi kan godt være stolte over deres indsats under vanskelige og uvante forhold  jeg sender dem alle en særlig hilsen med ønsket om godt nytår,0
2371,og vi ser  at vi er sådan  som mennesker har været til alle tider   ikke større  men heller ikke ringere,0
6515,alle landsdele skal opleve vækst og udvikling,1
2964,men det skulle ikke blive herved,0
3016,det er en gammel skik at samles nytårsaften for at tage afsked med det gamle år og byde det nye år velkommen,0
6064,gode job,1
5073,for cirka tre måneder siden var jeg gæst hos den kinesiske regering,1
1820,til alle  der har måttet opleve det chok på nærmeste hold  går mine tanker i aften  det gælder ikke mindst forsvaret og politiet  som må leve særlig udsat  for at vort land stadig kan være et godt sted at bo,0
2149,der er jo tale om lande og folk  der ikke er langt borte  og som altid har tilhørt samme kulturkreds som vi  men hvis tilværelse i niere end en menneskealder har været afskåret fra vor virkelighed,0
3412,vi lever i en tid  hvor verden igen er mere urolig,1
129,færingerne har en umiddelbarhed  gæstfrihed og varme  som jeg husker fra de gange prins henrik og jeg har besøgt landet,0
2791,men har vi ikke alle oplevet at komme tilbage til et kendt og skattet sted og ærgre os over  at der ikke længere er så rent og friskt  som vi synes  der burde være,0
3855,det er svimlende mange penge,1
5448,det er et land baseret på forskellighed og mangfoldighed,1
1782,vi håber  vi ønsker,0
183,i aften går mine tanker også nordpå,0
1605,foran os ligger et år  som vi møder med forventning  men også med bekymring  for der sker voldsomme ting ude i verden,0
351,de gør tjeneste i det krigshærgede tidligere jugoslavien eller har stillet sig til rådighed for fredsbevarende opgaver og humanitært hjælpearbejde i nogle af verdens brændpunkter,0
3936,vi isolerede husene,1
6115,nogensinde,1
2542,med mine og prinsens nytårsønsker for grønland sender også kronprinsen sin særlige hilsen til alle  men først og fremmest til qaanaaq,0
4719,den hører med til den forbedring af miljøet  af livets kvaliteter  som det så højtidligt hedder  som også var et emne for drøftelserne på topmødet i det europæiske fællesskab i paris i oktober,1
156,vi mente nok  at vi kendte grundmønstret for 1991  men meget af det  der optog os  blev helt anderledes,0
111,vejr og vind  is og sne er noget alle er afhængige af året rundt,0
855,for de unge kan det gælde om at finde et andet spor  hvis man ikke kommer ind på sin ønskeuddannelse,0
644,de unge vil gerne tage fat og gå nye veje,0
6166,de fanatiske søger at hindre,1
3767,men militærdiktaturer  besættelser eller hvad man nu kalder det  besættelser med eller uden invitation  de har en tendens til altid at vare for længe,1
249,vi kan give så meget videre ved et smil  et venligt blik eller en bemærkning   også til dem  vi ikke kender personligt,0
3918,det skal være et system  som skaber større lighed i alderdommen,1
4060,for hvordan er det gået de flygtninge  der allerede er i danmark,1
2772,en at dele sine tanker med,0
4747,det kan nok så meget en samfundssolidaritet og kollektivisme aldrig fuldt ud erstatte,1
5104,og samtidig investerer vi massivt i danmarks fremtid  bl a  i uddannelse og forskning,1
2690,det har vi her i danmark også måttet erfare,0
2007,for mig og min familie har det år  der nu er gået  budt på mange glæder  men vi har også oplevet en stor sorg,0
2381,særligt tænker jeg på dem under meget krævende forhold i afghanistan,0
2394,det er gammel skik  at vi nytårsaften takker hinanden for det år  der er gået,0
364,andre steder er forholdene vanskeligere  der er klart problemer med at få økonomien til at hænge sammen og med at holde modet oppe,0
2904,til dem alle går min nytårshilsen og tak,0
5539,på danmark,1
3835,og mine tanker og dybeste medfølelse går til familie og pårørende,1
3616,det har vi desværre set eksempler på tidligere i verdenshistorien,1
4144,vi må bruge vores kræfter på andet end mistænkeliggørelse,1
162,endelig føler jeg trang til sammen med prinsen  kronprins frederik og prins joachim at sige tak for det år  der er gået  en tak til alle de mange overalt i landet  der har gjort 1984 til et godt år både for mig og min lille familie,0
991,en særlig hilsen skal gå til dem  der må fejre nytår til søs,0
127,nok er danmark et lille land  men vi skal passe på  at vi ikke bliver et småligt land,0
3668,de bidrager til  at vi danskere tager ansvar og løfter vor del af opgaven med at sikre frihed og fred,1
2113,sammen med prinsgemalen ønsker jeg alle et godt nytår,0
1660,nogle er så dygtige med deres hænder  at man næsten ikke forstår  hvordan det går til,0
4256,men ulighederne findes ikke blot i vores eget samfund,1
3482,det er derfor  at vi så gerne vil have en reform  som kan fremme kapital til en mere rimelig rente  end den der generelt og i store dele af verden  nu engang er gældende,1
5783,hvert eneste liv er jo dyrebart,1
3396,regeringen tager situationen meget alvorligt,1
2798,også i år har mange danske været udsendt til forskellige steder i verden  hvor det brænder på,0
5396,tragedier i fjerne egne rammer os  som de aldrig har ramt os før,1
4018,det er ikke alt  vi kan klare med lovgivning,1
6392,værguderne og bøndernes håndkraft har afgjort hjulpet med dertil,1
3469,hver anden arbejdsplads skal om få år kunne producere varer  hvis eksistens vi endnu ikke kender,1
1490,operationen gav naturligvis også anledning til at gøre sig tanker om fremtiden   om ikke tiden var inde til at overlade ansvaret til den næste generation,0
845,sygdom kan ramme  ulykken slå ned,0
2161,de mennesker  der for alvor kan have det svært i højtiderne  er dem  der slet ikke har nogen familie at brydes med om den slags  eller som har en familie  hvor langt tungere problemer skygger for glæden,0
3893,det er fedt også tilbage,1
5260,vi var såmænd lige gode om det,1
4603,der er en tendens i tiden til at se tilbage,1
6084,vi blev enige om et godt dansk oplæg  og derfor stod vi stærkt,1
2475,sommetider så nær  at vi selv fornemmer chokbølgerne  som da london i sommer blev ramt midt i en travl hverdag  der ligner vores,0
5993,hvor alle føler et ansvar for vort fælles miljø,1
1147,som barn husker jeg  hvor spændende det var hvert nytår  når vi skulle til at skrive et nyt årstal,0
2504,de første raketter høres i gaderne  i aften vil vi være glade og slå os løs   når vi nu bare passer på  så det ikke går over gevind,0
3549,det kan være svært at få pengene til at slå til,1
341,også det kommende år kan blive historisk ikke blot for grønland men for hele det danske rige,0
6138,for mange i verden omkring os er danmark et forbillede og eksempel til efterfølgelse,1
2794,jeg véd  at de dage vil få betydning for ham altid,0
1866,her deltog kronprinsen sammen med danske ministre,0
555,så er det så bekvemt at indtage tilskuerens passive rolle,0
5703,men det gør det ikke mindre hårdt for den enkelte  der skriver ansøgning efter ansøgning og får afslag på afslag,1
989,til hver og en ønsker jeg et godt og glædeligt nytår,0
3229,ikke det opgivende tålmod  men den sindets ligevægt  som ikke gør modgang til en katastrofe  men til en  udfordring   som gør  at vi vender os til vore naboer for at se  om ikke de har brug for noget  vi kan hjælpe dem med,0
1528,vi skal ikke  hygge os i smug   men vi skal værne om vort land  vor kultur  vort sprog  ikke ved at lukke det inde i et glasskab på museet  smagfuldt belyst og med forklarende tekst   det skal ske ude på torvet  i vore hjem  i vore skoler  på hver arbejdsplads  der hvor livet er  hvor der kan blæse koldt og regne  men hvor solen også kommer,0
4258,det er godt for ligestillingen,1
6370,migrationspres,1
5552,for så beder vi vælgerne om at fjerne undtagelserne   uden at kende det samlede billede,1
3343,og i takt med at verden åbner igen  vil efterspørgslen på grønne løsninger stige,1
3685,i et samfund som det danske er magten        at det er de bedste garantier imod diktatur,1
5034,om det lykkes  afhænger naturligvis af de to regeringspartier,1
397,men vi kan også påvirke  hvad der sker uden for vore grænser,0
653,men ligesom grønland er man til stadighed afhængig af naturens ressourcer og det internationale samfunds konjunkturer,0
884,trives vi bedre end for blot et par generationer siden,0
160,vi har åbnet os både udadtil mod den store verden og indadtil mod hinanden,0
911,solen står op og går ned  står op igen  en ny dag  næppe til at skelne fra den foregående,0
5849,så er det nogen  vi kender,1
4970,men en krise giver også mulighed for at tænke nyt,1
3723,jeg tror desværre  at de kommende år vil byde på flere trusler mod vores land og levevis,1
3985,du starter med at gøre nytte på plejehjemmet for din ydelse,1
1108,vi må alle tænke over  hvordan vi vil gribe problemerne an,0
5807,det danske samfund oplevede en ganske enestående fremgang i årene fra 83 til 86  selvom arbejdsløsheden steg i det meste af verden  skabte vi 200 000 nye jobs i danmark,1
4977,det er ikke nogen utopi,1
2320,derfor skal vi tale op i stedet for at tale ned,0
2326,vi skal turde tage de debatter  der skal tages,0
3605,det er betingelsen for at klare sig i fremtiden,1
2991,alle vi  der bor i dette land  må dele godt og skidt med hinanden  det var det  den kendte fædrelandssang ville huske os på  og som vi kan gøre tydeligt ved at ændre et enkelt ord   hver glans  hver plet må jeg bære  som falder på danmarks navn,0
1997,det har mange oplevet  hvad enten de hårde vilkår var af fysisk eller psykisk art eller skyldtes andre forhold,0
5444,godhed kræver mod    dan havde mod,1
3544,hver og en  så langt jeres talent rækker,1
5601,ukrainerne forsvarer sig tappert,1
2623,selv har jeg rund fødselsdag,0
